Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
HORMEL SPAM,"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",1.35,75,0,0.0,191,15.23,1.25999999,65.72,7.02,1.47,4.49,13.9
HORMEL TURKEY CHILI W/BNS,"HORMEL TURKEY CHILI W/BNS,CND ENTREE",10.35,14,0,2.599999905,82,7.58,2.319999933,78.86,0.17,0.49,0.27,1.12
HORMEL VEGETARIAN CHILI W/BNS,"HORMEL VEGETARIAN CHILI W/BNS,CND ENTREE",15.39,0,0,4.0,83,4.83,2.519999981,77.95,0.03,0.16,0.05,0.28
HORSERADISH,"HORSERADISH,PREPARED",11.29,0,6,3.299999952,48,1.18,7.989999771,85.08,0.13,0.339,0.09,0.69
HORSERADISH-TREE,"HORSERADISH-TREE,PODS,CKD,BLD,DRND,W/SALT",8.18,0,0,4.199999809,36,2.09,0.0,88.42,0.0,0.0,0.0,0.19
HORSERADISH-TREE LEAFY TIPS,"HORSERADISH-TREE LEAFY TIPS,RAW",8.28,0,0,2.0,64,9.4,0.0,78.66,0.0,0.0,0.0,1.4
HOT POCKETS,"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",30.4,29,0,1.100000024,235,8.9,0.0,50.0,3.42,1.3,2.62,8.6
HOT POCKETS HAM 'N CHS STUFFED SNDWCH,"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",30.0,39,0,0.0,266,11.6,0.0,44.9,3.45,1.16,4.52,11.1
HUCKLEBERRIES,"HUCKLEBERRIES,RAW (ALASKA NATIVE)",8.7,0,0,0.0,37,0.4,0.0,90.7,0.0,0.0,0.0,0.1
HUMMUS,"HUMMUS,HOME PREP",20.12,0,28,4.0,177,4.86,0.270000011,64.87,4.865,2.109,1.141,8.59
